"Id","MSZoning","LotFrontage","Neighborhood","Condition1","BldgType","OverallQual","YearBuilt","YearRemodAdd","BsmtFinSF1","TotalBsmtSF","Heating","CentralAir","Electrical","X1stFlrSF","GrLivArea","BsmtFullBath","FullBath","BedroomAbvGr","TotRmsAbvGrd","Fireplaces","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","MoSold","YrSold","SalePrice","Electrical_imp","TotalBaths","CentralAirnum","HeatingQCnum"
85,"RL",65,"Gilbert","Norm","1Fam",7,1995,1996,0,384,"GasA","Y","SBrkr",804,1474,0,2,3,7,1,2,400,120,72,5,2009,168500,FALSE,3,2,2
86,"RL",121,"NoRidge","Norm","1Fam",8,1991,1992,0,1288,"GasA","Y","SBrkr",1301,2417,0,2,4,9,1,2,462,127,82,4,2006,260000,FALSE,3,2,1
87,"RL",122,"Gilbert","Norm","1Fam",6,2005,2005,0,684,"GasA","Y","SBrkr",684,1560,0,2,3,6,1,2,400,100,38,3,2009,174000,FALSE,3,2,1
88,"FV",40,"Somerst","Norm","TwnhsE",6,2009,2009,0,612,"GasA","Y","SBrkr",612,1224,0,2,2,4,0,2,528,0,234,6,2009,164500,FALSE,3,2,1
89,"C (all)",105,"IDOTRR","Feedr","1Fam",3,1915,1982,0,1013,"GasA","N","SBrkr",1013,1526,0,1,2,6,0,0,0,0,0,10,2009,85000,FALSE,1,1,3
90,"RL",60,"CollgCr","Norm","1Fam",4,1994,1995,588,990,"GasA","Y","SBrkr",990,990,1,1,3,5,0,0,0,0,0,8,2007,123600,FALSE,2,2,1
91,"RL",60,"NAmes","Norm","1Fam",4,1950,1950,0,0,"GasA","Y","FuseA",1040,1040,0,1,2,4,0,2,420,0,29,7,2006,109900,FALSE,1,2,3
92,"RL",85,"NAmes","Norm","1Fam",5,1961,1961,600,1235,"GasA","Y","SBrkr",1235,1235,0,1,2,6,0,2,480,0,0,12,2006,98600,FALSE,1,2,3
93,"RL",80,"Crawfor","Norm","1Fam",5,1921,2006,713,876,"GasA","Y","SBrkr",964,964,1,1,2,5,0,2,432,0,0,8,2009,163500,FALSE,2,2,1
94,"C (all)",60,"OldTown","Norm","2fmCon",6,1910,1998,1046,1214,"GasW","N","SBrkr",1260,2291,0,2,4,9,1,2,506,0,0,11,2007,133900,FALSE,3,1,1
95,"RL",69,"CollgCr","Norm","1Fam",6,1997,1997,648,824,"GasA","Y","SBrkr",905,1786,1,2,3,7,0,2,684,0,162,5,2007,204750,FALSE,4,2,1
96,"RL",65,"Gilbert","Norm","1Fam",6,1993,1993,310,680,"GasA","Y","SBrkr",680,1470,0,2,3,6,1,2,420,232,63,4,2009,185000,FALSE,3,2,2
97,"RL",78,"CollgCr","Norm","1Fam",7,1999,1999,1162,1588,"GasA","Y","SBrkr",1588,1588,0,2,3,6,0,2,472,158,29,8,2006,214000,FALSE,2,2,1
98,"RL",73,"Edwards","Norm","1Fam",4,1965,1965,520,960,"GasA","Y","FuseF",960,960,1,1,3,6,0,1,432,120,0,5,2007,94750,FALSE,2,2,3
99,"RL",85,"Edwards","Norm","1Fam",5,1920,1950,108,458,"GasA","N","SBrkr",835,835,0,1,2,5,0,1,366,0,0,5,2010,83000,FALSE,1,1,4
100,"RL",77,"NAmes","Norm","1Fam",4,1959,1959,569,950,"GasA","Y","SBrkr",1225,1225,1,1,3,6,0,0,0,352,0,1,2010,128950,FALSE,3,2,4
101,"RL",80,"NWAmes","Norm","1Fam",6,1977,2001,1200,1610,"GasA","Y","SBrkr",1610,1610,1,2,3,6,2,2,480,168,68,2,2010,205000,FALSE,3,2,2
102,"RL",77,"SawyerW","Norm","1Fam",6,1985,1985,0,741,"GasA","Y","SBrkr",977,1732,0,2,3,7,1,2,476,192,46,6,2010,178000,FALSE,3,2,3
103,"RL",64,"SawyerW","Norm","Duplex",5,1979,1979,0,0,"GasA","Y","SBrkr",1535,1535,0,2,4,8,0,2,410,0,0,6,2009,118964,FALSE,2,2,3
104,"RL",94,"CollgCr","Norm","1Fam",7,2009,2009,0,1226,"GasA","Y","SBrkr",1226,1226,0,2,3,6,0,3,740,0,36,5,2010,198900,FALSE,2,2,1
105,"RM",60,"IDOTRR","Norm","1Fam",7,1931,1950,224,1040,"GasA","Y","FuseF",1226,1818,0,1,4,7,2,1,240,0,0,6,2007,169500,FALSE,2,2,1
106,"FV",75,"Somerst","Norm","1Fam",8,2003,2004,0,1053,"GasA","Y","SBrkr",1053,1992,0,2,3,9,1,2,648,140,45,8,2008,250000,FALSE,3,2,1
107,"RM",60,"OldTown","Norm","1Fam",4,1885,1995,0,641,"GasA","Y","SBrkr",1047,1047,0,1,2,6,0,1,273,0,0,8,2007,100000,FALSE,1,2,2
108,"RM",50,"OldTown","Norm","1Fam",5,1948,1950,104,789,"GasA","Y","SBrkr",789,789,0,1,2,5,0,1,250,0,0,4,2008,115000,FALSE,1,2,1
109,"RM",85,"IDOTRR","Artery","1Fam",5,1919,2005,0,793,"GasW","N","FuseF",997,1517,0,2,3,7,0,0,0,0,0,8,2007,115000,FALSE,2,1,3
110,"RL",105,"NWAmes","Norm","1Fam",6,1977,1977,705,1844,"GasA","Y","SBrkr",1844,1844,0,2,3,7,1,2,546,0,122,1,2010,190000,FALSE,2,2,1
111,"RL",75,"Edwards","Norm","1Fam",6,1954,1972,444,994,"GasA","Y","SBrkr",1216,1855,0,2,4,7,0,1,325,182,0,10,2006,136900,FALSE,2,2,2
112,"RL",65,"Gilbert","Norm","1Fam",7,2000,2000,250,384,"GasA","Y","SBrkr",774,1430,0,2,3,7,1,2,400,180,0,4,2010,180000,FALSE,3,2,1
114,"RL",74,"Crawfor","Norm","1Fam",6,1953,1953,35,1809,"GasA","Y","SBrkr",2259,2259,1,2,3,7,2,2,450,166,120,10,2007,217000,FALSE,3,2,3
115,"RL",61,"Crawfor","Norm","1Fam",6,1945,2002,774,1028,"GasA","Y","SBrkr",1436,2320,1,2,3,9,1,1,180,224,0,7,2007,259500,FALSE,4,2,1
116,"FV",34,"Somerst","Norm","TwnhsE",6,1999,1999,419,729,"GasA","Y","SBrkr",729,1458,0,2,2,5,1,2,440,0,32,6,2007,176000,FALSE,3,2,2
117,"RL",71,"Sawyer","Norm","1Fam",5,1962,1962,170,1092,"GasA","Y","SBrkr",1092,1092,0,1,3,6,1,1,288,0,20,9,2009,139000,FALSE,2,2,3
118,"RL",74,"Edwards","Norm","1Fam",5,2006,2007,0,1125,"GasA","Y","SBrkr",1125,1125,0,1,2,5,0,2,430,80,64,4,2007,155000,FALSE,2,2,2
119,"RL",90,"SawyerW","Norm","1Fam",7,1990,1990,1470,1673,"GasA","Y","SBrkr",1699,3222,1,3,5,11,2,3,594,367,0,5,2010,320000,FALSE,4,2,2
120,"RL",65,"CollgCr","Norm","1Fam",6,2005,2006,0,728,"GasA","Y","SBrkr",728,1456,0,2,3,8,1,2,390,0,24,7,2006,163990,FALSE,3,2,1
121,"RL",80,"ClearCr","Norm","1Fam",6,1969,1969,938,938,"GasA","Y","SBrkr",988,988,1,1,1,4,2,2,540,0,130,10,2006,180000,FALSE,2,2,1
122,"RM",50,"IDOTRR","Norm","1Fam",4,1939,1950,0,732,"GasA","Y","SBrkr",772,1123,0,1,3,4,0,1,264,0,0,6,2007,100000,FALSE,1,2,2
123,"RL",75,"NAmes","Norm","1Fam",6,1958,1958,570,1080,"GasA","Y","SBrkr",1080,1080,0,1,3,5,0,1,288,0,0,6,2008,136000,FALSE,1,2,2
124,"RL",55,"SawyerW","Norm","TwnhsE",6,1993,1993,300,1199,"GasA","Y","SBrkr",1199,1199,0,2,2,5,0,2,530,0,63,3,2008,153900,FALSE,2,2,1
125,"RL",48,"NWAmes","Norm","1Fam",6,1979,1998,0,1362,"GasA","Y","SBrkr",1586,1586,0,2,3,7,1,2,435,192,0,1,2009,181000,FALSE,2,2,3
126,"RM",60,"IDOTRR","Norm","2fmCon",6,1935,1982,490,520,"GasA","N","SBrkr",520,754,1,1,2,5,0,0,0,53,0,6,2006,84500,FALSE,2,1,2
127,"RL",24,"NPkVill","Norm","TwnhsE",6,1976,1976,120,1078,"GasA","Y","SBrkr",958,958,0,2,2,5,1,2,440,0,205,2,2007,128000,FALSE,2,2,3
128,"RM",55,"OldTown","Feedr","1Fam",5,1930,1950,116,672,"GasA","Y","SBrkr",840,840,0,1,3,5,1,0,0,0,0,6,2007,87000,FALSE,1,2,1
129,"RL",69,"NAmes","PosN","1Fam",6,1966,1966,512,660,"GasA","Y","SBrkr",660,1348,0,1,3,6,1,2,453,188,108,7,2006,155000,FALSE,2,2,3
130,"RL",69,"NAmes","Norm","1Fam",5,1958,1991,567,1008,"GasA","Y","FuseA",1053,1053,0,1,3,6,0,2,750,0,80,7,2006,150000,FALSE,3,2,3
131,"RL",88,"NAmes","Norm","1Fam",7,1966,1966,445,924,"GasA","Y","SBrkr",1216,2157,0,2,4,8,2,2,487,105,66,5,2006,226000,FALSE,3,2,1
132,"RL",65,"Gilbert","Norm","1Fam",6,2000,2000,695,992,"GasA","Y","SBrkr",1022,2054,1,2,3,7,1,2,390,24,48,7,2009,244000,FALSE,4,2,1
133,"RL",75,"NAmes","Norm","1Fam",5,1959,2002,405,1063,"GasA","Y","SBrkr",1327,1327,1,1,3,7,0,2,624,0,0,7,2007,150750,FALSE,2,2,2
134,"RL",85,"Timber","Norm","1Fam",8,2001,2002,1005,1267,"GasA","Y","SBrkr",1296,1296,1,2,2,6,0,2,471,192,25,6,2009,220000,FALSE,3,2,1
135,"RL",78,"Sawyer","Norm","1Fam",5,1968,1993,570,1461,"GasA","Y","SBrkr",1721,1721,0,2,3,7,1,2,440,0,96,7,2006,180000,FALSE,3,2,2
136,"RL",80,"NWAmes","Norm","1Fam",7,1970,1970,0,1304,"GasA","Y","SBrkr",1682,1682,0,2,3,7,1,2,530,98,0,5,2008,174000,FALSE,2,2,2
137,"RL",73,"NAmes","Norm","1Fam",5,1967,1967,695,1214,"GasA","Y","SBrkr",1214,1214,0,2,3,5,1,1,318,0,111,7,2007,143000,FALSE,2,2,3
138,"RL",82,"Mitchel","Norm","Duplex",7,1988,1989,0,1907,"GasA","Y","SBrkr",1959,1959,0,3,5,9,0,3,766,0,0,7,2006,171000,FALSE,3,2,2
139,"RL",73,"CollgCr","Norm","1Fam",8,1999,2000,668,1004,"GasA","Y","SBrkr",1004,1852,0,2,3,7,2,3,660,224,106,12,2008,230000,FALSE,3,2,1
140,"RL",65,"CollgCr","Norm","1Fam",6,1997,1997,821,928,"GasA","Y","SBrkr",928,1764,1,2,3,7,0,2,470,276,99,8,2009,231500,FALSE,4,2,1
141,"RL",70,"NAmes","Norm","1Fam",4,1971,1971,432,864,"GasA","Y","SBrkr",864,864,0,1,3,5,1,0,0,0,0,4,2010,115000,FALSE,1,2,3
142,"RL",78,"CollgCr","Norm","1Fam",7,2005,2005,1300,1734,"GasA","Y","SBrkr",1734,1734,1,2,3,7,0,2,660,160,24,1,2006,260000,FALSE,3,2,1
143,"RL",71,"NAmes","Artery","1Fam",5,1952,1952,507,910,"GasA","Y","SBrkr",910,1385,0,2,4,6,0,2,720,0,0,6,2010,166000,FALSE,2,2,4
144,"RL",78,"CollgCr","Norm","1Fam",7,1999,1999,679,1490,"GasA","Y","SBrkr",1501,1501,1,2,3,6,0,2,577,144,29,6,2009,204000,FALSE,3,2,1
145,"RM",70,"Sawyer","RRAe","Duplex",5,1963,1963,1332,1728,"GasA","Y","SBrkr",1728,1728,1,2,6,10,0,2,504,0,0,11,2006,125000,FALSE,3,2,3
146,"RM",24,"Edwards","Norm","Twnhs",6,2004,2006,0,970,"GasA","Y","SBrkr",970,1709,0,2,3,7,0,2,380,0,40,4,2006,130000,FALSE,2,2,1
147,"RM",51,"BrkSide","Norm","1Fam",5,1931,1993,209,715,"GasA","Y","FuseA",875,875,1,1,2,5,0,1,180,48,0,11,2009,105000,FALSE,2,2,3
148,"RL",65,"Gilbert","Norm","1Fam",7,2001,2001,0,884,"GasA","Y","SBrkr",884,2035,0,2,3,8,1,2,434,144,48,5,2010,222500,FALSE,3,2,1
149,"RL",63,"SawyerW","Norm","1Fam",7,2004,2005,680,1080,"GasA","Y","SBrkr",1080,1080,1,1,3,6,0,0,0,0,0,4,2008,141000,FALSE,2,2,1
